timestamp,model_used,latency_sec,total_tokens,cost_usd,report_path,transcript_path,factual_consistency,completeness,coherence,objective_weighted_score,chat_depth,re_asks,copy_clicks,expand_clicks,time_spent_sec,is_feedback_collected,user_feedback_score
2026-02-28T13:50:19.538271,gemini-2.0-flash-lite-001,38.03,19217,0.002643,history_reports/summary_20260228_132259_gemini-2.0-flash-lite-001.txt,history_reports/transcript_20260228_132259_gemini-2.0-flash-lite-001.txt,0.6981132075471698,0.375,0.6566610187292099,0.6111,0,0,0,0,0.0,0,
2026-02-28T13:57:14.168543,gemini-2.5-flash,78.66,25044,0.015861,history_reports\summary_20260228_135714_gemini-2.5-flash.txt,history_reports\transcript_20260228_135714_gemini-2.5-flash.txt,0.75,0.16666666666666666,0.6415089964866638,0.5879,0,0,0,0,0.0,0,
2026-02-28T14:03:30.955801,gemini-2.5-flash,57.74,25404,0.01632,history_reports\summary_20260228_140330_gemini-2.5-flash.txt,history_reports\transcript_20260228_140330_gemini-2.5-flash.txt,0.7818181818181819,0.08333333333333333,0.6703766882419586,0.5905,0,0,0,0,0.0,0,
